Question,Paragraph,Page,answer,bm25_k=3_pages,bm25_mugi_k=3_pages,cosine_similarity_k=3
What type of contract is the Lakers Practice Facility Under?,"Back-Check No. 2 - ASI 009 
January 15, 2016 
Lakers Practice Facility 
Los Angeles, CA 
RA Project No. 2014-015 
 
 
SUMMARY 
 011000 - 1 
 
SECTION 011000 - SUMMARY 
PART 1 - GENERAL  
1.1 
RELATED DOCUMENTS 
A. 
Drawings and general provisions of the Contract, including General and Supplementary 
Conditions and other Division 01 Specification Sections, apply to this Section. 
1.2 
SUMMARY 
A. 
This Section includes the following: 
1. 
Project information. 
2. 
Work covered by the Contract Documents. 
3. 
Access to site. 
4. 
Coordination with occupants. 
5. 
Specification and drawing conventions. 
1.3 
PROJECT INFORMATION 
A. 
Project Identification:  Lakers Practice Facility, Los Angeles, California. 
1. 
Project Number:  2014-015. 
B. 
Architect: Rossetti Associates, Inc., 160 West Fort, Suite 400, Detroit, Michigan 48226. 
1. 
Telephone:  (313) 463-5151. 
2. 
Fax:  (313) 463-5160. 
1.4 
WORK COVERED BY CONTRACT DOCUMENTS 
A. 
Type of Contract: 
1. 
Project will be constructed under a single prime contract. 
1.5 
ACCESS TO SITE 
A. 
General:  Contractor shall have full use of premises for construction operations, including use 
of Project site, during construction period.  Contractor's use of premises is limited only by 
Owner's right to perform work or to retain other contractors on portions of Project. 
B. 
Use of Site:  Limit use of premises to areas within the Contract limits indicated.  Do not disturb 
portions of Project site beyond areas in which the Work is indicated. ",3,single prime contract,"[1, 1, 117]","[70, 117, 67]","[164, 189, 286]"
What is the project number?,"Back-Check No. 2 - ASI 009 
January 15, 2016 
Lakers Practice Facility 
Los Angeles, CA 
RA Project No. 2014-015 
 
 
SUMMARY 
 011000 - 1 
 
SECTION 011000 - SUMMARY 
PART 1 - GENERAL  
1.1 
RELATED DOCUMENTS 
A. 
Drawings and general provisions of the Contract, including General and Supplementary 
Conditions and other Division 01 Specification Sections, apply to this Section. 
1.2 
SUMMARY 
A. 
This Section includes the following: 
1. 
Project information. 
2. 
Work covered by the Contract Documents. 
3. 
Access to site. 
4. 
Coordination with occupants. 
5. 
Specification and drawing conventions. 
1.3 
PROJECT INFORMATION 
A. 
Project Identification:  Lakers Practice Facility, Los Angeles, California. 
1. 
Project Number:  2014-015. 
B. 
Architect: Rossetti Associates, Inc., 160 West Fort, Suite 400, Detroit, Michigan 48226. 
1. 
Telephone:  (313) 463-5151. 
2. 
Fax:  (313) 463-5160. 
1.4 
WORK COVERED BY CONTRACT DOCUMENTS 
A. 
Type of Contract: 
1. 
Project will be constructed under a single prime contract. 
1.5 
ACCESS TO SITE 
A. 
General:  Contractor shall have full use of premises for construction operations, including use 
of Project site, during construction period.  Contractor's use of premises is limited only by 
Owner's right to perform work or to retain other contractors on portions of Project. 
B. 
Use of Site:  Limit use of premises to areas within the Contract limits indicated.  Do not disturb 
portions of Project site beyond areas in which the Work is indicated. ",3,2014-015,"[1, 1, 26]","[12, 1, 21]","[6, 286, 84]"
Who is the architect of this project?,"Back-Check No. 2 - ASI 009 
January 15, 2016 
Lakers Practice Facility 
Los Angeles, CA 
RA Project No. 2014-015 
 
 
SUMMARY 
 011000 - 1 
 
SECTION 011000 - SUMMARY 
PART 1 - GENERAL  
1.1 
RELATED DOCUMENTS 
A. 
Drawings and general provisions of the Contract, including General and Supplementary 
Conditions and other Division 01 Specification Sections, apply to this Section. 
1.2 
SUMMARY 
A. 
This Section includes the following: 
1. 
Project information. 
2. 
Work covered by the Contract Documents. 
3. 
Access to site. 
4. 
Coordination with occupants. 
5. 
Specification and drawing conventions. 
1.3 
PROJECT INFORMATION 
A. 
Project Identification:  Lakers Practice Facility, Los Angeles, California. 
1. 
Project Number:  2014-015. 
B. 
Architect: Rossetti Associates, Inc., 160 West Fort, Suite 400, Detroit, Michigan 48226. 
1. 
Telephone:  (313) 463-5151. 
2. 
Fax:  (313) 463-5160. 
1.4 
WORK COVERED BY CONTRACT DOCUMENTS 
A. 
Type of Contract: 
1. 
Project will be constructed under a single prime contract. 
1.5 
ACCESS TO SITE 
A. 
General:  Contractor shall have full use of premises for construction operations, including use 
of Project site, during construction period.  Contractor's use of premises is limited only by 
Owner's right to perform work or to retain other contractors on portions of Project. 
B. 
Use of Site:  Limit use of premises to areas within the Contract limits indicated.  Do not disturb 
portions of Project site beyond areas in which the Work is indicated. ",3,"Rossetti Associates, Inc.","[48, 48, 48]","[68, 32, 203]","[203, 30, 31]"
What is the telephone number of the Architect?,"Back-Check No. 2 - ASI 009 
January 15, 2016 
Lakers Practice Facility 
Los Angeles, CA 
RA Project No. 2014-015 
 
 
SUMMARY 
 011000 - 1 
 
SECTION 011000 - SUMMARY 
PART 1 - GENERAL  
1.1 
RELATED DOCUMENTS 
A. 
Drawings and general provisions of the Contract, including General and Supplementary 
Conditions and other Division 01 Specification Sections, apply to this Section. 
1.2 
SUMMARY 
A. 
This Section includes the following: 
1. 
Project information. 
2. 
Work covered by the Contract Documents. 
3. 
Access to site. 
4. 
Coordination with occupants. 
5. 
Specification and drawing conventions. 
1.3 
PROJECT INFORMATION 
A. 
Project Identification:  Lakers Practice Facility, Los Angeles, California. 
1. 
Project Number:  2014-015. 
B. 
Architect: Rossetti Associates, Inc., 160 West Fort, Suite 400, Detroit, Michigan 48226. 
1. 
Telephone:  (313) 463-5151. 
2. 
Fax:  (313) 463-5160. 
1.4 
WORK COVERED BY CONTRACT DOCUMENTS 
A. 
Type of Contract: 
1. 
Project will be constructed under a single prime contract. 
1.5 
ACCESS TO SITE 
A. 
General:  Contractor shall have full use of premises for construction operations, including use 
of Project site, during construction period.  Contractor's use of premises is limited only by 
Owner's right to perform work or to retain other contractors on portions of Project. 
B. 
Use of Site:  Limit use of premises to areas within the Contract limits indicated.  Do not disturb 
portions of Project site beyond areas in which the Work is indicated. ",3,(313) 463-5151,"[26, 1, 47]","[20, 36, 25]","[34, 119, 203]"
What is the address of the Architect?,"Back-Check No. 2 - ASI 009 
January 15, 2016 
Lakers Practice Facility 
Los Angeles, CA 
RA Project No. 2014-015 
 
 
SUMMARY 
 011000 - 1 
 
SECTION 011000 - SUMMARY 
PART 1 - GENERAL  
1.1 
RELATED DOCUMENTS 
A. 
Drawings and general provisions of the Contract, including General and Supplementary 
Conditions and other Division 01 Specification Sections, apply to this Section. 
1.2 
SUMMARY 
A. 
This Section includes the following: 
1. 
Project information. 
2. 
Work covered by the Contract Documents. 
3. 
Access to site. 
4. 
Coordination with occupants. 
5. 
Specification and drawing conventions. 
1.3 
PROJECT INFORMATION 
A. 
Project Identification:  Lakers Practice Facility, Los Angeles, California. 
1. 
Project Number:  2014-015. 
B. 
Architect: Rossetti Associates, Inc., 160 West Fort, Suite 400, Detroit, Michigan 48226. 
1. 
Telephone:  (313) 463-5151. 
2. 
Fax:  (313) 463-5160. 
1.4 
WORK COVERED BY CONTRACT DOCUMENTS 
A. 
Type of Contract: 
1. 
Project will be constructed under a single prime contract. 
1.5 
ACCESS TO SITE 
A. 
General:  Contractor shall have full use of premises for construction operations, including use 
of Project site, during construction period.  Contractor's use of premises is limited only by 
Owner's right to perform work or to retain other contractors on portions of Project. 
B. 
Use of Site:  Limit use of premises to areas within the Contract limits indicated.  Do not disturb 
portions of Project site beyond areas in which the Work is indicated. ",3,"160 West Fort, Suite 400, Detroit, Michigan 48226","[1, 1, 117]","[68, 46, 2]","[119, 203, 34]"
What type of welding electrodes are used for reinforcing bars. ,"Back-Check No. 2 - ASI 009 
January 15, 2016 
Lakers Practice Facility 
Los Angeles, CA 
RA Project No. 2014-015 
 
 
CONCRETE REINFORCEMENT 
 032000 - 3 
 
B. 
Electrode storage: Comply with the combined recommendations of AWS and the electrode 
manufacturer for storage of electrodes. Do not use electrodes that have been wetted. 
C. 
Delivery: Deliver reinforcement to the site bundled, tagged and marked; handle to prevent 
damage to material. Use metal tags indicating size, length and other markings shown on place-
ment drawings. Maintain tags after bundles are broken. 
PART 2 - PRODUCTS 
2.1 
MATERIALS 
A. 
Reinforcing steel: 
Use ASTM A 615, Grade 60 for gravity elements. For welding, conform 
to specified carbon equivalent or use bars conforming to ASTM A 706. 
B. 
Reinforcing mesh: ASTM A 185. Provide welded wire fabric in flat sheets, not rolls. 
C. 
Welding electrodes for Reinforcing Bars: AWS A5.1 E80XX Series, low hydrogen, having a 
minimum yield point of 80,000 psi. 
D. 
Tie wire: ASTM A 82, 16 gage (minimum) annealed steel wire. 
E. 
Supports for reinforcement: Bolsters, chairs, spacers, and other devices for spacing, supporting, 
and fastening reinforcing bars and welded wire fabric in place. Use wire-bar-type supports 
complying with CRSI specifications. 
1. 
For slabs-on-grade, use supports with sand plates or horizontal runners where base 
material will not support chair legs, or pre-cast concrete block chairs with embedded wire 
ties. 
2. 
For exposed-to-view concrete surfaces, where legs of supports are in contact with forms, 
provide supports with legs that are plastic protected (CRSI, Class 1) or stainless steel 
protected (CRSI, Class 2). 
3. 
Over waterproof membranes and vapor barriers, use pre-cast concrete chairs to prevent 
puncturing of membrane. 
2.2 
FABRICATION 
A. 
General: Except as modified by the Drawings and the Specifications, comply with Chapter 7 of 
CRSI Manual of Standard Practice for fabrication of reinforcing steel. Exposed Sealing 
Materials: All sealing materials exposed at entrance and storefront perimeter joints in contact 
with adjacent cladding materials: 2 component silicone, refer to Division 7 Section ""Joint 
Sealants"". 
B. 
Bending and forming: 
1. 
For slabs-on-grade, use supports with sand plates or horizontal runners where base 
material will not support chair legs, or pre-cast concrete block chairs with embedded wire 
ties. 
2. 
Heating reinforcement for bending is prohibited. Do not install bars with unscheduled 
kinks or bends. 
3. 
Bars larger than #4 shall not be bent once cast in concrete or masonry. ",131,"AWS A5.1 E80XX Series, low hydrogen, having a minimum yield point of 80,000 psi.","[131, 131, 199]","[132, 130, 130]","[131, 131, 267]"
What are the specificaitons for cold-formed steel tubing?,"Back-Check No. 2 - ASI 009 
January 15, 2016 
Lakers Practice Facility 
Los Angeles, CA 
RA Project No. 2014-015 
 
 
METAL FABRICATIONS 
 055000 - 3 
 
1.5 
SUSTAINABILITY REQUIREMENTS 
A. 
LEED 2009 NC: 
1. 
Recycled content. 
PART 2 - PRODUCTS 
2.1 
MATERIALS 
A. 
Steel sections:  ASTM A 36. 
B. 
Steel tubing: 
1. 
Cold-formed:  ASTM A 500, Grade B. 
2. 
Hot-formed:  ASTM A 501. 
C. 
Plates:  ASTM A 283. 
D. 
Pipe:  ASTM A 53, Grade B, Schedule 40. 
E. 
Bars and bar-size shapes:  ASTM A 663, Grade 65 and ASTM A 675. 
F. 
Carbon steel sheets and strips: 
1. 
Hot rolled:  ASTM A 568 and ASTM A 569. 
2. 
Cold rolled:  ASTM A 366. 
G. 
Bolts, nuts, and washers:  ASTM A 307. 
H. 
Welding materials:  AWS D1.1; type required for materials being welded.   
I. 
Shop paint: 
1. 
Primer:  Manufacturer's standard. 
2. 
For repair of galvanizing, use a high zinc dust content paint complying with DOD-P-21035 
or SSPC-Paint 20. 
2.2 
MISCELLANEOUS FRAMING AND SUPPORT 
A. 
Provide miscellaneous steel framing and supports as necessary to complete the work. 
B. 
Fabricate units to the sizes, shapes and profiles indicated, or if not indicated, of the necessary 
dimensions to receive adjacent work to be retained by the framing. 
C. 
Except as otherwise indicated, fabricate using mitered corners, welded brackets and splice 
plates and a minimum number of joints for field connections. 
D. 
Equip units with integrally welded anchor straps for casting into cast-in-place concrete wherever 
possible. ",225,"ASTM A 500, Grade B.","[219, 219, 216]","[194, 130, 219]","[131, 250, 226]"
What are the specifcations for chain-link fencing?,"Back-Check No. 2 - ASI 009 
January 15, 2016 
Lakers Practice Facility 
Los Angeles, CA 
RA Project No. 2014-015 
 
 
TEMPORARY FACILITIES AND CONTROLS 
 015000 - 3 
 
1.6 
QUALITY ASSURANCE 
A. 
Electric Service:  Comply with NECA, NEMA, and UL standards and regulations for temporary 
electric service.  Install service to comply with NFPA 70. 
B. 
Tests and Inspections:  Arrange for authorities having jurisdiction to test and inspect each 
temporary utility before use.  Obtain required certifications and permits. 
C. 
Accessible Temporary Egress:  Comply with applicable provisions in the U.S. Architectural & 
Transportation Barriers Compliance Board's ADA-ABA Accessibility Guidelines and ICC/ANSI 
A117.1. 
1.7 
PROJECT CONDITIONS 
A. 
Temporary Use of Permanent Facilities:  Engage installer of each permanent service to 
assume responsibility for operation, maintenance, and protection of each permanent service 
during its use as a construction facility before Owner's acceptance, regardless of previously 
assigned responsibilities. 
PART 2 - PRODUCTS 
2.1 
MATERIALS 
A. 
Chain-Link Fencing:  Minimum 2 inch (51 mm), 0.148 inch (3.8 mm) thick, galvanized steel, 
chain-link fabric fencing; minimum 6 feet high with galvanized steel pipe posts; minimum 2-3/8 
inch (60 mm) OD line posts and 2-7/8 inch (73 mm) OD corner and pull posts, with 1-5/8 inch 
(41 mm) OD top rails. 
B. 
Polyethylene Sheet:  Reinforced, fire-resistive sheet, 10 mils (0.25 mm) minimum thickness, 
with flame-",55,"Minimum 2 inch (51 mm), 0.148 inch (3.8 mm) thick, galvanized steel, chain-link fabric fencing; minimum 6 feet high with galvanized steel pipe posts; minimum 2-3/8 inch (60 mm) OD line posts and 2-7/8 inch (73 mm) OD corner and pull posts, with 1-5/8 inch (41 mm) OD top rails.","[1, 1, 26]","[130, 219, 219]","[131, 131, 218]"
What particulates need to be prevented of being deposited into the air duing on site operations? ,"Back-Check No. 2 - ASI 009 
January 15, 2016 
Lakers Practice Facility 
Los Angeles, CA 
RA Project No. 2014-015 
 
 
TEMPORARY STORM WATER POLLUTION CONTROL 
 015723 - 4 
 
4. 
For projects designated as Risk Level 1 and above, implement good housekeeping for 
landscape materials, which, at a minimum, shall consist of the following: 
a. 
Contain stockpiled materials such as mulches and topsoil when they are not 
actively being used. 
b. 
Contain all fertilizers and other landscape materials when they are not actively 
being used. 
c. 
Discontinue the application of any erodible landscape material within two days 
before a forecasted rain event or during periods of precipitation. 
d. 
Apply erodible landscape material at quantities and application rates according to 
manufacture 
recommendations 
or 
based 
on 
written 
specifications 
by 
knowledgeable and experienced field personnel. 
e. 
Stack erodible landscape material on pallets and cover or store such materials 
when not being used or applied. 
5. 
Maintain an inventory of materials in association with the Material Safety Data Sheet 
(MSDS) per OSHA requirements.  Provide to QSP upon request.   
6. 
For projects designated as Risk Level 1 and above, implement good housekeeping 
measures on the construction site to control the air deposition of site materials and from 
site operations. Such particulates can include, but are not limited to, sediment, nutrients, 
trash, metals, bacteria, oil and grease and organics. 
7. 
For projects designated as Risk Level 2 or 3, implement the Rain Event Action Plan  
(REAP) as directed by the QSP.   
8. 
For projects designated as Risk Level 1 and above, begin implementing repairs or 
changes to BMPs within 72 hours of identification as directed by the QSP and complete 
the changes as soon as possible.         
C. 
Non-Storm Water Management 
1. 
For projects designated as Risk Level 1 and above, implement measures to control all 
non-storm water discharges during construc",296,"particulates can include, but are not limited to, sediment, nutrients, trash, metals, bacteria, oil and grease and organics.","[64, 64, 108]","[63, 64, 109]","[65, 54, 81]"
What should be included in the Completed Coordiantion/Record BIM model?,"Back-Check No. 2 - ASI 009 
January 15, 2016 
Lakers Practice Facility 
Los Angeles, CA 
RA Project No. 2014-015 
 
 
BUILDING INFORMATION MODELING (BIM) PROJECT REQUIREMENTS 
 013700 - 1 
 
SECTION 013700 – BUILDING INFORMATION MODELING (BIM) PROJECT REQUIREMENTS 
PART 1 - GENERAL (NOT USED) 
PART 2 - BUILDING INFORMATION MODELING / MANAGEMENT 
2.1 
BUILDING INFORMATION MODELING / MANAGEMENT - DEFINITIONS 
A. 
Base Structural Model – the structural steel mill order drawing file showing all structural 
elements.  This model is not necessarily fully detailed with all connections. 
B. 
Base Architectural Model – a combination of the Base Structural Model and key architectural 
elements.  This model is to be used by all coordination participants as the background file in 
which to develop their work.  Information within this model will be updated through RFI 
responses and the coordination process.  This model is for reference only. 
C. 
Base Composite Model – this model includes all trade model files within the Base Architectural 
Model as a representation of the completed systems.  This model is used to run the 
intermediate clash reports and is considered a work in progress. 
D. 
Final Coordination Model – this model shows all trades’ systems fully coordinated models within 
the Base Architectural Model.  All clashes have been resolved.  No further coordination is 
required.  The work shown within this model represents the upcoming installations of each 
system.  
E. 
Completed Coordination/Record Model – this model is the close-out submittal to the Owner and 
includes the information within the Final Coordination Model as well as any project updates that 
have taken place during installations such as RFI responses, as-built conditions, etc.   
F. 
PDF – Portable Document Format – When referred to elsewhere in the specifications a PDF 
shall refer to a portable document format which meets the following requirements: 
1. 
Bookmarked – All PDF’s shall have establish",29,"this model is the close-out submittal to the Owner and 
includes the information within the Final Coordination Model as well as any project updates that 
have taken place during installations such as RFI responses, as-built conditions, etc.   ","[32, 31, 34]","[32, 31, 31]","[164, 284, 6]"
